customer_name,order_id,amount
ARTHUR ELLIS,f136a0a3-2a05-4803-8ab1-7d752aac9894,2229.82
Samantha Blair,0d757ed8-74df-41ee-8a12-bb72b5db79d8,4539.88
Christopher C.,638dc216-a2bb-4b35-817a-58c3aa7df3a2,3828.5
"Elizabeth, Sandoval",8f16e8ee-631d-41c0-93a0-c89100696fae,3572.44
Linda W.,94130075-9ed9-47ca-9233-29f142c8f323,2666.31
D. Thompson,0b006e18-30ec-4e07-aa18-025a1367a705,2250.38
M. Horton,1c5d96b3-143b-4643-baf5-1c80950e2d6c,1581.31
Lindsey Silva,1930e92c-b5d7-4f61-aa39-752e48f0c7ca,755.29
B. Jones,7398d6f3-8211-46a1-a235-b833c213de4d,1901.66
ERIC WHITE,4b1064a6-f294-4efd-b839-81ce3521c0d6,3904.35
sandra hill,db35478e-b77d-4880-81a6-f4057cd4f8d0,1686.84
"Linda, Williams",be8ea92c-79fd-4298-b682-6fdc0fd0bca5,3607.95
D. Thompson,507af79b-0695-4d91-a60e-fe1ce7dbc7b6,1584.27
Suzanne Rodgers,ffcfe026-708c-43a2-937c-ae8a3070adb1,1457.82
Aaron Kaufman,0c95c55d-a145-4b21-a701-da838f98e4d4,3317.06
"Christopher, Crane",047aea6c-30a0-4864-90ed-cd5e1a065e98,4227.77
"Anita, Clark",78a8c78b-0f0c-4fce-b64e-e4a7014a0ef4,371.62
"Jared, Jones",f6953f45-0e65-43b6-a52d-aecdc14b36d8,2243.54
"Sandra, Hill",eb335477-26d0-451e-95e6-ae7b2ffe2f19,3569.26
Linda Williams,cbec284d-416e-44c3-a215-4edb32262679,3948.0
V. Poole,bedb9f26-8329-4426-b02c-34bb838f0c20,3846.59
"Angel, Robles",dc583434-4810-4144-9e87-1b9ebdf412e6,3387.45
"James, Cook",9f552fad-0796-4319-8ba3-cfe451ebadbe,2553.38
lori dorsey,bcd9dcf8-5775-4898-ae36-d71bd4ece5c9,1143.06
robert brown,652639f3-4ff4-48aa-8cf8-333d7022db1a,2169.07
B. Jones,9c8cd397-21a8-4f0e-bcf7-a72f5623d28e,4609.07
BETH LARSEN,e5a58b79-e270-450a-9bb6-bf0e250bb37f,4389.81
jillian garcia,3f0cdc3d-ef4c-4c7d-a49a-e358c9d0ab5c,594.6
Ricky Campbell,3a2f6731-6b79-495d-b527-f86df99362ed,3357.24
Brian L.,4c72d6d0-c7bc-42ee-92df-fcffd564f3b8,2099.73
AARON KAUFMAN,6341649d-1db6-499b-9f9c-65d089bfd76d,1807.93
A. Robles,7591b71e-d350-4846-9cad-250216d6a9c9,159.66
george patel,27e73ea0-490d-4ec1-89f0-6a871d99693f,4350.49
SAMANTHA BLAIR,d4a379d5-8d00-4ba3-9cfd-101294ce952c,4740.54
"Elizabeth, Maldonado",1a707756-5ea4-4ce3-a6ca-ab62f73d6be2,4029.64
dr. karen thompson,c80c6476-717b-4f62-9cd5-2457d7bf4c42,1153.96
J. Costa,e481ede9-7e9b-4198-9458-c16f2465c7db,1525.8
D. Thompson,0759801a-1213-49d6-bada-937d4d3a79d8,553.0
Elizabeth M.,91f0de17-fafd-48c8-bb0d-c32ea7aecb2b,1804.36
J. Costa,a9616fe4-d587-47c1-8305-bc40d63389d4,3010.67
M. Horton,4c947c2d-3b9c-4a1f-ab80-e9b9db5a665e,4044.98
arthur ellis,d0a45402-5072-4703-8888-c7be1c87ed00,1741.56
"Lori, Dorsey",b878a65f-88a0-435a-8fed-4fd6b5e7579c,1311.97
L. Dorsey,2bffea47-8472-426a-beaa-d6b0a95bc058,2448.55
"Monique, Jones",94610254-be7c-4b4c-a70a-1eecac847aa6,1823.07
Lee Johnson,fe64e804-0f26-4256-a6ad-e33b7818c6e1,3171.94
"Ashley, Oliver",aea226ab-f670-411b-99f6-141d07b093d6,2134.44
"Nicholas, Johnson",4072af74-cf74-4c8c-89c2-2db6dd552174,282.03
S. Hill,4b68a029-f96d-4fc1-baf1-1c82d87675cc,1084.66
JASON BROWN,fb7723b0-73a7-4b4d-8a7f-832b82576b7f,2277.4
Beth L.,4b82b6e1-cf8c-47ad-b6f4-8f6f8fcb4041,4056.05
R. Campbell,85617ef1-a1c6-4d56-ac4b-72a044dd4eef,2255.09
Monique Jones,702c68ed-4420-4fbf-bc3f-a1f86ed953be,2957.79
Deborah A.,63b172da-b249-41c6-9569-4cc1e3833000,4284.86
William Bush,05b93162-c017-496c-a7bc-211ee522b439,3590.85
George Patel,1589e7dd-2c87-45da-a339-78524c1cc125,2266.78
LEE JOHNSON,0c238261-e05d-49a4-9135-e7c8bae152c4,1405.11
Eric White,659676f7-4915-4bb1-93a9-89f7000bca27,2485.96
JOHN COSTA,d6bd6447-3a24-4e95-89fd-9d52d6395771,721.53
P. Vega,60d65df9-779d-442e-a460-f1df856212ce,1066.34
Arthur Ellis,528f188b-7846-46b0-b172-184af67060a7,4264.94
Beth Larsen,9c592212-4f08-4a6b-8d8a-df0b03dfbc56,2981.07
A. Kaufman,2162a38e-bb89-496a-ae4e-0e90dce77f9d,3959.51
samantha blair,7cb74531-a598-4fda-bdce-1023728e38e5,4258.83
Kristin Solis,bcccfe36-0934-4011-83b7-03d152e15f65,322.3
ashley oliver,8e29da56-e9d5-4bc3-a1fd-00d37bb0b473,4922.21
Michael Harris,99a01cab-099f-4616-9a8f-603d570dc3bf,2703.88
RICKY CAMPBELL,cb4641e9-166a-4864-b932-8a593e989cef,3357.47
AARON KAUFMAN,72db1a2d-cc71-445e-8c2a-43460deb4db1,500.64
"Lee, Johnson",56d72d2e-46d8-4e1d-8e5f-7d897535b8cf,3359.88
A. Ellis,a2e92e3b-9e44-42c9-af3b-de4ae8cb7694,2140.29
Christopher Crane,16eca2dd-f2bf-472f-b18c-51ea1dfe89a3,3784.68
Arthur Ellis,79a28d81-81f3-40a3-a85c-4e9f4f889660,1964.28
RICKY CAMPBELL,3a64b88a-48d3-4dc3-9e1e-2e5c6f09ec5d,50.9
Lee J.,8d868dfa-0575-4907-bb65-b10a3e1df5f7,3090.71
