client,ticket_id,priority
Kristi V.,98591e2d-dedf-4da4-affb-8cbdc36cf664,Medium
KRISTIN ANDERSON,10000faa-8ea2-4d03-b04d-cdefefc5398b,Medium
C. Crane,99ecf002-ab76-45fe-8f51-c8e374e41a31,Medium
"Monique, Jones",966634c5-607e-49e6-9f8d-30a27b2eac60,Low
"Brian, Lucas",9afa7ec1-d388-46ca-b510-197e2f2144d3,Low
K. Solis,caf0daa0-ca9e-402d-8941-434837d90de6,Low
L. Williams,9245c204-d013-4eaa-b20f-e70ba0ffe32b,High
Suzanne Rodgers,9426a9c5-3bf2-4df9-8621-bf45f943a57a,High
Linda W.,7d27f7f9-4cf9-4fcf-a262-3b0bc17b7b1a,Low
JARED JONES,95af7350-49bc-47c6-97bf-b0fc75735796,High
Kristin Anderson,c36aa4d8-6de8-4b11-82c6-a3e2b4854f26,Medium
"Brent, Garcia",bed4af3a-678d-45f0-a49d-3c0eaf0de123,Medium
Jason B.,6fd1ec63-5c57-4b96-9cc3-f9252547e37e,Medium
D. Hunter,b5d8cad5-cf85-44c3-9c43-46f2cd52622c,Medium
Jillian G.,d8c72707-96ca-4686-a00a-e09073a4dc85,High
DR. BRITTANY HUNTER,8501875c-697c-474f-8a3b-5a06c275947d,Low
"Jillian, Garcia",9e482357-4d1d-4c31-9afa-04021bf213e9,High
Robert Brown,4b628e41-64b5-427a-9d82-777d22d32c5a,Low
brittany jones,7337133f-274c-459d-a738-e7c9c6bb041c,Low
Diana F.,2d8ca48c-92f5-4412-96c1-c22482946de0,High
Jared Jones,7b034f43-5d8e-43a4-8703-0d35dfbd657c,High
mrs. jacqueline horton,64d6e9ab-13b0-441e-ab26-38582a41031b,Low
LEE JOHNSON,edde7493-132c-4a1f-ad0f-7eab2005a2f1,Low
D. Thompson,e0312fb8-d166-4f20-8720-0e8ec4f89a47,Low
Diana F.,0966b55b-8486-41cf-90d0-01829ecb10f2,Medium
"Brittany, Jones",ef34c7c4-1b4a-4848-8cbf-95727b7b69e9,High
Robert Sweeney,f8614eef-9b05-463f-9f60-17dec3e62900,High
LORI DORSEY,811d54f6-9447-4f33-8077-a881807e3f16,Low
veronica poole,e40215c3-5e78-4836-a72f-b171ceac40b9,Low
Robert B.,72883995-14f8-4999-bcd0-e869803ebe54,High
"Brent, Garcia",394941fc-e28d-4d92-b649-0891e50cc7ad,Medium
diana ford,d89622d8-97bb-4791-9514-cbc82d16b357,High
Kristin Anderson,eda26bd5-4cf0-470a-906d-ee9e3fd15d61,High
DEBORAH ADAMS,67b38cfc-e304-4706-8bcb-3d9b3725a804,High
William Bush,98ac21ed-c942-48a2-bb7a-c2f790449ee0,High
Angel Robles,864a627a-d8d3-4dc0-ae35-298d59319709,Medium
JAMES LANE,85e72a9d-ddf5-4202-a445-e24d6f79be33,High
Kristin Solis,6d3de7b4-ae6e-4f6a-bd29-fcac1a6ba67f,Low
Brian L.,8e4a14cc-d4eb-409c-8c67-90c82ca18513,Medium
M. Jones,2c01f769-f1e2-4016-9a91-919cf58cbae8,Low
Elizabeth Maldonado,bd45118d-2c95-4b41-823f-0ea4fa89c643,High
LINDA WILLIAMS,39484933-d130-464c-84ad-2c0125bec388,High
jared jones,71a564ef-9618-463e-8624-96892d3e0d07,Medium
"Brian, Lucas",f6412ce5-c4a9-4109-980f-7a4a83e581f7,Medium
ELIZABETH SANDOVAL,35046950-9b67-423d-87f7-76322920067a,High
Anita Clark,b4125ac4-d6d4-4188-8192-8e5272c00613,High
D. Adams,7bb53e14-c5ef-4e8e-b365-d6db1b63598f,Medium
Eric W.,2084656d-ff38-48b8-81d1-a7610796f093,Low
monique jones,9ed9d3b0-4f7e-48d7-9918-9781ebc80006,High
"Beth, Larsen",5f82ef39-5726-4cdf-b294-df4946f421c7,Medium
Michael Harris,383fae23-b718-4aec-955b-b5befab144b2,High
W. Bush,a9547bb6-ad3b-47e7-9515-ccc1c845ff6d,High
J. Costa,05b5ebb1-2857-449b-ad20-5a5888aaf0ca,Low
Robert S.,c2c4c7b0-5c56-47ca-8d7f-03ce5961824e,Low
Dawn Allen,4eb152e4-b65a-456b-b42b-224d2a8c2f8e,High
"John, Costa",fc3443cd-f844-45cd-b9f9-3adf349170ec,Medium
James L.,41a28424-f6ce-48cf-be2f-3255b7d872a2,High
lee johnson,0e2f518d-9c56-48fb-9066-3dee633f9e41,Medium
JAMES SHORT,fba27104-7058-45ca-a96e-8c4e3cc87c92,High
Ashley Oliver,d2bbdf3b-c855-4df0-8a5b-4cd3c2f16d16,Medium
"Ashley, Oliver",4ab20b43-7cf0-4d7a-b2e6-47b6c6daa1a5,Medium
ryan wright,4431b7d4-b214-4003-9d59-f208659ec299,Medium
Angel Robles,87e27df5-60e0-48e8-acd1-5c35fc8432cf,Medium
"Kristin, Solis",caa0f1a5-96dd-4602-82ac-ac4b824cd8e2,Medium
ANGEL ROBLES,63d11e52-bb9a-4e94-98ff-705d9a30c943,Low
